problem,num_obj,phase,iRVEA_RP_R_IGD,iRVEA_Ranges_R_IGD,iRVEA_RP_R_HV,iRVEA_Ranges_R_HV,iRVEA_RP_N_Ss,iRVEA_Ranges_N_Ss,iRVEA_RP_FEs,iRVEA_Ranges_FEs
DTLZ1,3,learning,2.4692056381641985,2.7245303024164107,34.97613710454471,32.603883141458674,197,3,98586,59418
DTLZ1,3,decision,1.7011322357633176,1.6886610876236827,25.41258127093719,26.163398122446573,301,54,92376,100362
DTLZ1,4,learning,2.74344838221539,2.8305554643980235,,,97,302,154864,174592
DTLZ1,4,decision,1.7557476953270539,1.7265137381857387,,,351,434,122400,167176
DTLZ1,5,learning,2.8026580175333518,3.0788710527324845,,,254,166,163450,238110
DTLZ1,5,decision,2.4187328454132806,2.4054395516454647,,,388,81,190240,234070
DTLZ1,6,learning,2.81837456148142,3.3834028859985508,,,244,523,261492,297492
DTLZ1,6,decision,1.7711749271768564,1.7303865809075607,,,375,501,213060,292500
DTLZ1,7,learning,3.117382042360015,4.048518186160389,,,324,157,220374,268100
DTLZ1,7,decision,2.750031690366887,2.5816029653664367,,,99,224,179494,260932
DTLZ1,8,learning,3.079824881847138,4.390061670081279,,,355,546,305040,432528
DTLZ1,8,decision,2.5891418000795308,2.3919164677888842,,,376,514,299104,405120
DTLZ1,9,learning,2.777128399046685,3.513169742115148,,,482,741,547632,603630
DTLZ1,9,decision,1.772329801263011,1.729640974936427,,,515,680,469530,590130
DTLZ2,3,learning,0.17224170434514124,0.15351687892509414,33.47237374441916,34.49985536813978,276,193,96822,68550
DTLZ2,3,decision,0.14855750840670068,0.5029243882558048,25.368734283661993,22.08025999810784,246,19,88194,10734
DTLZ2,4,learning,0.7021050005306908,0.687695277581108,,,208,129,87536,73936
DTLZ2,4,decision,0.22949775532367056,0.39377618335610953,,,195,11,95392,5296
DTLZ2,5,learning,0.27108251700593744,0.6353916941779033,,,306,74,131650,48300
DTLZ2,5,decision,1.1106333360591503,1.1106333360591503,,,6,18,9000,9280
DTLZ2,6,learning,0.46143709145147305,0.6579664411652981,,,489,503,238848,299784
DTLZ2,6,decision,0.22416049977848718,0.17230147913821697,,,374,238,225984,263448
DTLZ2,7,learning,0.35963528648273746,1.709854991546261,,,277,250,156114,172564
DTLZ2,7,decision,1.3103016578195574,1.3103016578195574,,,17,21,17318,17584
DTLZ2,8,learning,0.2250700942741534,0.7578377011264893,,,374,169,234352,104352
DTLZ2,8,decision,1.412279973067912,1.2740670062237434,,,380,520,246928,328976
DTLZ2,9,learning,0.3263160848731777,0.7225410008430859,,,585,359,386946,306720
DTLZ2,9,decision,0.40174277315866636,0.41430087312718217,,,418,361,328824,400752
DTLZ3,3,learning,0.1391293745100634,0.2562931479085184,34.31645059117767,33.012729357879024,112,7,100602,64578
DTLZ3,3,decision,0.03799614800542429,0.2412239082290919,24.070654133891082,24.0,177,3,90804,3948
DTLZ3,4,learning,0.32170298773237554,1.0446879255067238,,,160,28,101688,65616
DTLZ3,4,decision,0.0839056717146945,0.03788871929277713,,,338,9,130032,160920
DTLZ3,5,learning,0.6544433702931531,0.7233297898005572,,,160,47,175440,142240
DTLZ3,5,decision,0.14055070365637187,0.3285710528404568,,,323,17,155870,9070
DTLZ3,6,learning,0.49801713996269786,1.3880898840249993,,,254,183,264672,247776
DTLZ3,6,decision,0.19344279848976564,0.03677910967546702,,,383,117,207624,278844
DTLZ3,7,learning,0.45559209267102324,2.2723584736437967,,,189,355,195580,259140
DTLZ3,7,decision,0.22377615552349334,0.06709125109663693,,,253,71,162386,176862
DTLZ3,8,learning,0.47526162518678555,1.554376911710007,,,395,147,304928,414880
