problem,num_obj,phase,iRVEA_R_IGD,iNSGAIII_R_IGD,iRVEA_R_HV,iNSGAIII_R_HV,iRVEA_N_Ss,iNSGAIII_N_Ss,iRVEA_FEs,iNSGAIII_FEs
DTLZ1,3,learning,2.5721030920253893,2.5976021067548856,33.955017842577334,34.48779713517946,0,421,84042,127200
DTLZ1,3,decision,1.754172866964735,1.7461972695286037,25.385909792772736,25.593923555032035,206,317,93042,95400
DTLZ1,4,learning,2.2580444344286033,2.2947421435482322,,,1,481,119328,192000
DTLZ1,4,decision,1.6996399604181351,1.6991383453380704,,,208,361,130432,144000
DTLZ1,5,learning,2.3947210320816303,2.4294099529551807,,,339,197,196900,252000
DTLZ1,5,decision,1.7344314745004616,1.7342093472656062,,,334,314,171450,189000
DTLZ1,6,learning,2.6741330980489577,3.2471344450794355,,,421,199,233964,302400
DTLZ1,6,decision,1.8628718009096534,1.87331102346996,,,391,275,208080,226800
DTLZ1,7,learning,2.474476043893716,2.6060294323652133,,,305,216,163940,235200
DTLZ1,7,decision,2.0530352568932386,2.0581657111096643,,,262,36,172410,176400
DTLZ1,8,learning,2.680686784368168,2.9469357020205216,,,425,369,265120,384000
DTLZ1,8,decision,1.9769907181421509,2.474166142558826,,,380,363,286384,288000
DTLZ1,9,learning,2.534215901010206,2.7332568747982138,,,593,500,391086,597600
DTLZ1,9,decision,1.940331556324716,2.2533237851852257,,,518,43,434124,448200
DTLZ2,3,learning,0.20263088888127048,0.20654177941458507,33.03960250353675,32.97998963267494,176,422,88506,127200
DTLZ2,3,decision,0.1548116005513914,0.05797211725983842,25.16241873130768,26.342586503316127,173,314,60222,95400
DTLZ2,4,learning,0.7703649285039582,0.10476091675664187,,,241,475,96560,192000
DTLZ2,4,decision,0.13221628853410264,0.09827944883475181,,,310,348,141224,144000
DTLZ2,5,learning,1.6748064313936615,0.8332548934001697,,,225,499,99160,252000
DTLZ2,5,decision,0.243481630634015,0.25436779308937824,,,316,359,140730,189000
DTLZ2,6,learning,0.39234857675383716,0.34908398602878854,,,489,499,238740,302400
DTLZ2,6,decision,0.18943723906088386,0.16577714405900093,,,389,369,218688,226800
DTLZ2,7,learning,1.9208593382184183,0.6041986411135924,,,169,335,98210,235200
DTLZ2,7,decision,1.3032723944641638,0.11979651317141211,,,18,243,16800,176400
DTLZ2,8,learning,0.5850588244414776,0.5930317589773766,,,478,473,274448,384000
DTLZ2,8,decision,0.38314843921328906,0.7858885916462686,,,185,348,114752,288000
DTLZ2,9,learning,0.4084556689152497,0.3425014643476748,,,661,650,456840,597600
DTLZ2,9,decision,0.5077253392206451,0.31321339194260517,,,517,484,441126,448200
DTLZ3,3,learning,0.6059217206030884,0.14949884174901698,31.77978966322707,34.371122522265196,0,422,62538,127200
DTLZ3,3,decision,0.02100295072569091,0.034657238853711525,25.86915968922134,25.90713528913804,0,317,83286,95400
DTLZ3,4,learning,0.1657436087876511,0.15275598542094457,,,2,482,149736,192000
DTLZ3,4,decision,0.08171537227440849,0.04905059932139345,,,270,358,115496,144000
DTLZ3,5,learning,0.13027696294327842,0.21643747256672444,,,146,503,226160,252000
DTLZ3,5,decision,0.09852666681003969,0.08122131256848014,,,375,375,191900,189000
DTLZ3,6,learning,0.3039351180562584,0.2177620979171499,,,358,386,236268,302400
