problem,num_obj,iteration,num_gens,reference_point,iRVEA_R_IGD,iNSGAIII_R_IGD,iRVEA_R_HV,iNSGAIII_R_HV,iRVEA_N_Ss,iNSGAIII_N_Ss,iRVEA_FEs,iNSGAIII_FEs
DTLZ1,3,1,100,[0.71307423 0.35653711 0.71307423],0.6862227216181861,0.7159975504330379,9.035353276703571,8.36683129851403,0,105,27144,31800
DTLZ1,3,2,100,[0.         0.53009706 0.        ],0.5519368275721049,0.5519217200870058,8.073498748635188,8.062387829559254,0,106,18294,31800
DTLZ1,3,3,100,[0.51159171 0.         0.        ],0.5540514989816515,0.5519002055085088,8.038249836513142,8.060327001268998,0,106,6948,31800
DTLZ1,3,4,100,[0.         0.         0.49241992],0.5561815214817544,0.5521029853646864,8.002788299779015,8.060592075256155,0,106,3888,31800
DTLZ1,3,5,100,[2.22044605e-16 3.71322495e-01 2.22044605e-16],0.553016436338611,0.5529413778814721,8.024158678508963,8.03142191915076,0,106,24768,31800
DTLZ1,3,6,100,[2.22044605e-16 3.64365355e-01 2.22044605e-16],0.5530173044611064,0.5530993090962771,8.023709329745243,8.03091360058538,23,105,32400,31800
DTLZ1,3,7,100,[2.22044605e-16 3.63800294e-01 2.22044605e-16],0.5530021290188176,0.5530951250113628,8.024182127191517,8.031370968660303,76,104,32400,31800
DTLZ2,3,1,100,[4.77954611e-17 1.00709050e+00 0.00000000e+00],0.008743548418235134,0.005778969788655195,8.080059377919223,8.058748645944217,12,106,27144,31800
DTLZ2,3,2,100,[1.00061088 0.         0.        ],0.008865083530784548,0.006917975899736143,8.080663000136187,8.059944872478496,29,105,27252,31800
DTLZ2,3,3,100,[1.39634820e-17 0.00000000e+00 1.00014876e+00],0.008687002783553308,0.0064894380925107405,8.080098930218256,8.061807481770366,33,106,24276,31800
DTLZ2,3,4,100,[0.33355052 0.66710105 0.66710105],0.5999181655727271,0.016260229932005748,4.629629629629629,9.006671649171384,1,106,1512,31800
DTLZ2,3,5,100,[0.60197557 0.26849169 0.60197557],0.5742498868780676,0.020404207333839852,4.694067548819393,8.79736015628149,2,104,1200,31800
DTLZ2,3,6,100,[0.65460042 0.32124877 0.65460042],0.595432061971602,0.046114032080870504,4.640980960719084,8.827043772675683,2,103,1200,31800
DTLZ2,3,7,100,[0.66382071 0.33046906 0.66382071],0.5988614808546148,0.017214977520363356,4.632306762189751,8.88028321300884,2,103,1200,31800
DTLZ3,3,1,100,[1.97249632 2.95874447 0.        ],0.017614504113521553,0.03228398792193272,8.769218960468786,8.766319851125827,0,44,15306,31800
DTLZ3,3,2,100,[1.47405723e-32 9.89212594e-01 2.47303148e-01],0.06588250641828883,0.07149343152702312,8.316227456252966,8.2998972118856,0,106,24810,31800
DTLZ3,3,3,100,[1.47405723e-32 1.00841559e+00 0.00000000e+00],0.0073556441011860315,0.006845990178193761,8.068058946202575,8.05952571512763,0,106,28770,31800
DTLZ3,3,4,100,[0.70307239 0.70307239 0.35153619],0.5999181655727273,0.018163477219480743,4.629629629629629,8.971147083550262,0,105,1512,31800
DTLZ3,3,5,100,[2.22044605e-16 9.76576592e-01 2.43649978e-01],0.06524526159007055,0.07055679822169197,8.22434600698102,8.223925808474146,1,106,13086,31800
DTLZ3,3,6,100,[2.22044605e-16 9.72311537e-01 2.40962626e-01],0.06342456394608759,0.06796114152985847,8.215051992509489,8.225272693985346,4,105,32400,31800
DTLZ3,3,7,100,[2.22044605e-16 9.71859480e-01 2.40677579e-01],0.06320441042226677,0.06692701771148722,8.217190384373286,8.231323205031243,11,105,32400,31800
DTLZ4,3,1,100,[5.66248800e-17 1.00182931e+00 0.00000000e+00],0.02335895933087657,0.006888120984801512,7.94561803549081,8.060130393804606,21,105,25482,31800
DTLZ4,3,2,100,[3.25242824e-20 0.00000000e+00 1.00025161e+00],0.008671675386796265,0.006551656254659,8.07991851359561,8.062161419191828,39,106,27516,31800
DTLZ4,3,3,100,[1.00014297 0.         0.        ],0.023130740392708533,0.006963214689777633,7.94718122301787,8.060491521964485,39,105,27324,31800
DTLZ4,3,4,100,[0.84075016 0.56050011 0.        ],0.005934729216889385,0.01012796533398139,8.777137059203476,8.760207079300407,62,105,26484,31800
DTLZ4,3,5,100,[9.69855141e-01 2.22044605e-16 2.42165840e-01],0.06550894021441811,0.06855704283885455,8.21599221962375,8.240855523552263,43,104,28500,31800
DTLZ4,3,6,100,[9.69797631e-01 2.22044605e-16 2.42130038e-01],0.06500167767670208,0.07192776072657689,8.216269848138142,8.21644133527206,74,103,32400,31800
DTLZ4,3,7,100,[9.69775173e-01 2.22044605e-16 2.42116040e-01],0.06511250954516581,0.0677629533748385,8.215469711226907,8.22095083140253,74,98,32400,31800
DTLZ1,4,1,100,[0.         0.         2.83258438 1.88838959],0.751805371776468,0.7451893316932574,,,1,120,31336,48000
DTLZ1,4,2,100,[0.         0.55879913 2.23519653 0.        ],0.575892681688042,0.5640441651131509,,,0,55,39464,48000
DTLZ1,4,3,100,[0.         0.13647026 0.40941079 0.13647026],0.764927931350296,0.7650082402747839,,,33,120,46976,48000
DTLZ1,4,4,100,[0.         0.         0.         0.51178746],0.5588238578329088,0.5587284567801967,,,104,121,25688,48000
DTLZ1,4,5,100,[2.22044605e-16 5.73091400e-02 2.36874083e-01 5.73091400e-02],0.7112777924328915,0.7104614528199027,,,119,117,39840,48000
DTLZ1,4,6,100,[2.22044605e-16 5.92214462e-02 2.38786389e-01 5.92214462e-02],0.710558201750034,0.7094630262268343,,,123,117,49592,48000
DTLZ1,4,7,100,[2.22044605e-16 5.88229823e-02 2.38109839e-01 5.88229823e-02],0.7098029783997301,0.7098591470269677,,,119,110,49600,48000
DTLZ2,4,1,100,[1.79268305e-17 9.21455832e-01 3.07151944e-01 3.07151944e-01],0.06626688073051026,0.05114652293462984,,,106,120,42304,48000
DTLZ2,4,2,100,[1.92872213e-19 1.00873544e+00 0.00000000e+00 0.00000000e+00],0.008392734192084327,0.003999007965387104,,,78,121,45168,48000
DTLZ2,4,3,100,[0.97346332 0.         0.         0.24336583],0.08586418785223071,0.0933887111741677,,,76,121,32584,48000
DTLZ2,4,4,100,[0.33843129 0.         0.67686259 0.67686259],0.6863038077231228,0.03751279545663751,,,3,118,2080,48000
DTLZ2,4,5,100,[2.22044605e-16 8.84031596e-01 2.80439362e-01 2.80439362e-01],0.2256156576681796,0.03166710561372891,,,3,119,1600,48000
DTLZ2,4,6,100,[2.22044605e-16 8.83338274e-01 2.80094548e-01 2.80094548e-01],0.09781780805492495,0.05979141337237502,,,7,117,1776,48000
DTLZ2,4,7,100,[2.22044605e-16 8.83175061e-01 2.80012359e-01 2.80012359e-01],0.04480933454741701,0.03378942209365359,,,95,114,34256,48000
DTLZ3,4,1,100,[1.43406962e-47 1.20375824e+01 8.02505490e+00 0.00000000e+00],0.03093501086308415,0.041466630736811574,,,53,104,30384,48000
DTLZ3,4,2,100,[1.43406962e-47 0.00000000e+00 2.29670267e+01 1.53113511e+01],0.03425910670283343,0.007086025732307139,,,15,81,29624,48000
DTLZ3,4,3,100,[1.43406962e-47 9.94903818e-01 3.97961527e+00 0.00000000e+00],0.08297795776765259,0.046458110833779855,,,66,13,40088,48000
DTLZ3,4,4,100,[1.43406962e-47 8.83331846e-01 5.88887897e-01 0.00000000e+00],0.032696102798983565,0.038830712091090375,,,92,113,41640,48000
DTLZ3,4,5,100,[2.22044605e-16 2.31635628e-01 9.83628552e-01 2.22044605e-16],0.07430405497205222,0.07967267668327659,,,39,121,41328,48000
DTLZ3,4,6,100,[2.22044605e-16 2.31336730e-01 9.62707167e-01 2.22044605e-16],0.07734140841694721,0.0841727617628889,,,81,119,49600,48000
DTLZ3,4,7,100,[2.22044605e-16 2.31136938e-01 9.62137216e-01 2.22044605e-16],0.0774749856210511,0.08230629140739026,,,101,118,49600,48000
DTLZ4,4,1,100,[3.99055135e-017 2.20344140e-019 6.77001583e-152 1.00419730e+000],0.007972892413511989,0.003672989131489432,,,36,121,43536,48000
DTLZ4,4,2,100,[8.78687519e-35 1.00091792e+00 0.00000000e+00 0.00000000e+00],0.055598880935368085,0.0031327866617594994,,,46,121,43184,48000
DTLZ4,4,3,100,[0.67962116 0.33981058 0.         0.67962116],0.036278444215856895,0.03921786136925785,,,110,121,41568,48000
DTLZ4,4,4,100,[8.33290174e-01 8.08154624e-54 0.00000000e+00 5.55526782e-01],0.031591036611656464,0.01784448264389732,,,102,120,45816,48000
DTLZ4,4,5,100,[6.49694845e-01 3.16182035e-01 2.22044605e-16 6.49694845e-01],0.02907827147737676,0.031148836279207243,,,115,117,46560,48000
DTLZ4,4,6,100,[6.49460216e-01 3.16037596e-01 2.22044605e-16 6.49460216e-01],0.03180409791886348,0.030924430770570478,,,114,118,49600,48000
DTLZ4,4,7,100,[6.49429246e-01 3.16018416e-01 2.22044605e-16 6.49429246e-01],0.031327102894280916,0.031975876581602385,,,106,116,49600,48000
DTLZ1,5,1,100,[ 0.          0.          0.          0.         17.79868994],0.5637560242246449,0.5698601261482409,,,64,126,15520,63000
DTLZ1,5,2,100,[0.         0.         0.         7.58276391 0.        ],0.583403019103325,0.5632374060666293,,,39,123,20550,63000
DTLZ1,5,3,100,[0.         0.         0.         0.75930639 1.13895959],0.6771510059588627,0.7883720777627998,,,116,99,52520,63000
DTLZ1,5,4,100,[0.        0.        0.        0.        0.6197207],0.563279861419777,0.5632990291627109,,,129,124,47560,63000
DTLZ1,5,5,100,"[2.22044605e-16 2.22044605e-16 2.22044605e-16 1.17159735e-01
 2.04129699e-01]",0.6409700191985387,0.6394333311720991,,,130,120,51920,63000
DTLZ1,5,6,100,"[2.22044605e-16 2.22044605e-16 2.22044605e-16 1.21351436e-01
 2.05752582e-01]",0.634371188023339,0.6644871660671103,,,130,124,66000,63000
DTLZ1,5,7,100,"[2.22044605e-16 2.22044605e-16 2.22044605e-16 1.12058913e-01
 1.93199017e-01]",0.6372168430905722,0.6472801896670052,,,130,123,66000,63000
DTLZ2,5,1,100,"[1.47967358e-17 1.03235963e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00]",0.03612442990553238,0.004650423480329189,,,84,127,58720,63000
DTLZ2,5,2,100,[1.00591552 0.         0.         0.         0.        ],0.035939213186720546,1.5701670792850115,,,119,124,56990,63000
DTLZ2,5,3,100,"[1.97114983e-49 0.00000000e+00 0.00000000e+00 9.90620399e-01
 2.47655100e-01]",0.16726871924255313,0.08385816494363398,,,4,126,3620,63000
DTLZ2,5,4,100,"[1.97114983e-49 0.00000000e+00 3.36295746e-01 6.72591493e-01
 6.72591493e-01]",0.7629705286617354,0.030801228560201083,,,4,123,3000,63000
DTLZ2,5,5,100,"[2.22044605e-16 2.22044605e-16 2.22044605e-16 9.61927771e-01
 2.33934417e-01]",0.0812937207481459,0.0842557125068103,,,28,116,4260,63000
DTLZ2,5,6,100,"[2.22044605e-16 2.22044605e-16 2.22044605e-16 9.63569414e-01
 2.35895354e-01]",0.0809008518451143,0.0810847104152857,,,108,118,42920,63000
DTLZ2,5,7,100,"[2.22044605e-16 2.22044605e-16 2.22044605e-16 9.66577260e-01
 2.38903200e-01]",0.08126328456079109,0.08366140605734404,,,123,117,66000,63000
DTLZ3,5,1,100,"[1.18066081e-63 0.00000000e+00 0.00000000e+00 3.43724744e+00
 1.37489898e+01]",0.0765341270447729,0.07380758671086267,,,0,124,48480,63000
DTLZ3,5,2,100,"[1.18066081e-63 0.00000000e+00 0.00000000e+00 3.57711103e+00
 8.94277758e-01]",0.08144471474825107,0.06928593550106467,,,0,127,49160,63000
DTLZ3,5,3,100,"[1.18066081e-63 0.00000000e+00 3.29485829e+00 8.23714573e-01
 0.00000000e+00]",0.07924337620971862,0.07205421701883669,,,0,126,47170,63000
DTLZ3,5,4,100,"[1.18066081e-63 0.00000000e+00 2.77127701e+00 0.00000000e+00
 6.92819253e-01]",0.08639016054118392,0.09063227624840522,,,5,126,54070,63000
DTLZ3,5,5,100,"[2.22044605e-16 2.22044605e-16 2.22044605e-16 2.22044605e-16
 1.02182351e+00]",0.048843447500177065,0.03099409434938464,,,9,126,30970,63000
DTLZ3,5,6,100,"[2.22044605e-16 2.22044605e-16 2.22044605e-16 2.22044605e-16
 1.00316741e+00]",0.04489401260918396,0.003704518026853187,,,4,126,64230,63000
DTLZ3,5,7,100,"[2.22044605e-16 2.22044605e-16 2.22044605e-16 2.22044605e-16
 1.00433424e+00]",0.04507162515085298,0.005537589402369525,,,17,127,65000,63000
